Rank,Player Name,Team,Pos,GP,MIN,Position Group,PTS,PTS_Grade,FG%,FG%_Grade,FT%,FT%_Grade,3P%,3P%_Grade,REB,REB_Grade,AST,AST_Grade,STL,STL_Grade,BLK,BLK_Grade,OVR_Grade
510,Kenny Noland,Columbia,G,26,31.7,G,13.1,89,48.2,90,67.6,74,38.7,87,3.4,83,3.3,90,1.2,86,0.1,75,84
511,Niels Lane,Delaware,G,28,29.7,G,13.1,89,51.4,95,70.8,76,36.4,84,4.4,90,2.3,82,1.1,84,0.5,93,86
512,Barry Evans,Bryant,F,28,32.8,F,13.1,93,46.8,76,62.3,77,35.6,86,7.0,93,2.6,99,1.4,99,0.5,78,87
513,Jackson Paveletzke,Ohio,G,29,31.7,G,13.1,89,50.0,93,76.4,81,29.6,76,4.2,88,4.9,99,0.9,80,0.0,71,84
514,Keonte Jones,Cal State Northridge,F,29,30.5,F,13.1,93,50.4,80,68.1,81,40.0,89,9.3,99,4.3,99,1.9,99,1.3,95,91
515,Carter Whitt,Belmont,G,30,31.0,G,13.1,89,43.8,83,74.2,79,35.4,83,4.7,92,5.8,99,1.5,92,0.1,75,86
516,Quion Burns,Maine,G,30,29.4,G,13.1,89,44.0,83,76.6,81,32.6,79,6.9,99,1.2,74,1.0,82,0.4,89,84
517,Jamarii Thomas,South Carolina,G,25,30.1,G,13.1,89,37.5,73,73.2,78,34.5,82,3.1,81,3.1,88,1.3,88,0.2,80,82
518,Chance Moore,St. Bonaventure,G,27,33.6,G,13.1,89,45.9,86,64.1,71,25.9,71,6.6,99,1.0,73,1.3,88,0.9,99,84
519,Derrick Butler,Bowling Green,G,27,30.3,G,13.1,89,42.1,80,68.3,74,34.9,82,3.3,82,1.0,73,0.8,78,0.3,84,80
520,Adama-Alpha Bal,Santa Clara,G,29,30.3,G,13.1,89,42.4,81,78.5,83,38.1,86,2.5,76,3.1,88,0.5,71,0.1,75,81
521,Carson Towt,Northern Arizona,F,30,33.0,F,13.1,93,55.9,86,38.0,60,0.0,66,12.4,99,3.5,99,1.2,96,0.4,76,84
522,Jaxson Robinson,Kentucky,G,24,28.0,G,13.0,89,43.2,82,76.3,81,37.6,85,3.5,83,1.7,78,0.6,74,0.5,93,83
523,Ryan Myers,Western Illinois,G,29,32.4,G,13.0,89,36.9,72,70.7,76,34.8,82,2.7,78,1.7,78,0.4,69,0.1,75,77
524,Chad Baker-Mazara,Auburn,G,29,25.3,G,13.0,89,47.3,89,89.6,92,38.8,87,3.3,82,2.5,84,1.2,86,0.6,97,88
525,Chuck Harris,SMU,G,29,26.2,G,13.0,89,45.8,86,84.2,88,43.0,92,2.7,78,2.4,83,0.9,80,0.2,80,84
526,Jake O'Neil,Idaho State,G,28,33.1,G,13.0,89,46.6,87,66.3,73,33.8,81,9.4,99,2.1,81,1.1,84,0.5,93,85
527,Anthony Pritchard,Central Michigan,G,29,34.7,G,13.0,89,42.9,81,68.8,75,33.8,81,4.7,92,5.6,99,2.0,99,0.1,75,86
528,Tavari Johnson,Akron,G,29,24.1,G,13.0,89,45.7,86,90.6,93,37.5,85,2.0,73,4.0,95,0.7,76,0.3,84,85
529,Jaden Daughtry,Indiana State,F,31,19.2,F,13.0,92,60.1,91,65.6,80,40.7,89,4.2,79,1.0,80,1.0,91,0.4,76,84
530,Liam Murphy,North Florida,F,32,23.9,F,13.0,92,44.3,73,76.3,87,42.3,90,3.3,75,1.4,85,0.8,85,0.4,76,82
531,Will Pruitt,Lipscomb,G,31,31.5,G,13.0,89,46.5,87,77.5,82,35.4,83,5.7,98,2.6,85,0.9,80,0.2,80,85
532,Stephan Swenson,UC Santa Barbara,G,29,29.4,G,13.0,89,44.6,84,78.3,83,44.6,94,3.5,83,4.4,98,1.7,97,0.1,75,87
533,David N'Guessan,Kansas State,G,29,29.5,G,13.0,89,62.4,99,58.7,66,27.3,73,7.1,99,1.4,76,0.8,78,0.9,99,84
534,Tre Dinkins,Duquesne,G,29,28.6,G,13.0,89,42.7,81,79.1,83,39.9,88,2.3,75,3.0,88,0.8,78,0.1,75,82
535,Joe Sayler,South Dakota State,G,29,30.0,G,13.0,89,40.4,77,86.8,90,34.4,81,2.6,77,1.9,79,0.7,76,0.0,71,80
536,Chris Ashby,Queens,G,31,28.4,G,12.9,88,36.1,70,88.9,92,35.5,83,1.3,68,1.1,73,0.5,71,0.2,80,78
537,George Beale Jr.,Hampton,G,31,24.0,G,12.9,88,44.6,84,86.0,89,39.2,87,2.3,75,0.9,72,0.8,78,0.0,71,80
538,Keaston Willis,Tulsa,G,29,29.3,G,12.9,88,39.3,75,80.4,85,38.2,86,3.2,81,1.1,73,0.9,80,0.1,75,80
539,Jaden Akins,Michigan State,G,29,26.4,G,12.9,88,40.3,77,81.9,86,29.4,75,3.7,85,1.5,76,0.8,78,0.3,84,81
540,Payton Sparks,Ball State,C,29,23.7,C,12.9,94,59.4,82,64.3,82,50.0,96,7.6,91,1.4,86,0.4,79,0.6,75,85
541,Silas Demary Jr.,Georgia,G,29,31.1,G,12.9,88,39.5,76,80.3,84,37.3,85,3.9,86,3.1,88,1.7,97,0.2,80,85
542,Jamille Reynolds,San Francisco,F,27,25.7,F,12.9,92,53.3,83,70.2,83,16.0,75,7.7,96,0.7,76,0.4,74,1.6,99,84
543,Toby Nnadozie,Coppin State,G,27,32.0,G,12.9,88,41.7,79,78.7,83,35.4,83,3.6,84,2.4,83,2.5,99,0.2,80,84
544,Miles Byrd,San Diego State,G,26,29.8,G,12.9,88,38.7,75,83.7,87,31.4,78,4.2,88,2.6,85,2.0,99,0.9,99,87
545,Jalen Bolden,UL Monroe,G,31,33.0,G,12.9,88,37.6,73,66.4,73,22.9,67,6.1,99,2.6,85,1.9,99,0.2,80,83
546,Jamichael Stillwell,Milwaukee,F,30,27.8,F,12.9,92,46.0,75,56.5,73,29.0,82,10.8,99,1.2,82,1.3,99,0.4,76,84
547,Dola Adebayo,Mount St. Mary's,F,29,28.0,F,12.9,92,53.9,84,74.3,86,28.6,82,6.8,92,1.0,80,0.9,88,1.1,90,86
548,AK Okereke,Cornell,F,26,25.0,F,12.9,92,58.7,89,77.8,88,31.1,83,4.2,79,4.2,99,0.9,88,1.0,88,88
549,Khalif Battle,Gonzaga,G,31,26.0,G,12.9,88,43.6,83,93.9,96,33.8,81,3.5,83,1.5,76,1.0,82,0.1,75,83
550,Madison Durr,Monmouth,G,31,31.9,G,12.9,88,39.8,76,80.2,84,39.3,87,2.7,78,3.1,88,1.3,88,0.1,75,83
551,Kaleb Glenn,Florida Atlantic,F,29,25.0,F,12.9,92,54.5,85,64.7,79,40.2,89,5.0,83,0.6,74,0.6,80,0.3,74,82
552,Jordan Ivy-Curry,UCF,G,28,29.5,G,12.9,88,39.3,75,84.5,88,33.1,80,3.2,81,2.3,82,1.4,90,0.1,75,82
553,Mwani Wilkinson,Little Rock,G,31,32.9,G,12.8,88,41.5,79,81.6,86,37.2,85,7.2,99,0.9,72,1.7,97,1.5,99,88
554,Nicholas Shogbonyo,Denver,G,31,30.0,G,12.8,88,41.0,78,84.4,88,34.2,81,4.6,91,1.7,78,0.8,78,0.1,75,82
555,Javohn Garcia,McNeese,G,30,28.9,G,12.8,88,43.8,83,80.0,84,32.7,79,3.4,83,1.9,79,1.6,94,0.4,89,84
556,Taelon Peter,Liberty,G,29,22.0,G,12.8,88,55.8,99,75.7,81,42.8,92,3.9,86,0.9,72,0.8,78,0.1,75,83
557,Jizzle James,Cincinnati,G,29,26.5,G,12.8,88,42.9,81,74.0,79,30.3,76,3.0,80,3.8,94,0.9,80,0.3,84,82
558,Kyrone Alexander,Boston University,G,29,30.3,G,12.8,88,40.8,78,79.0,83,30.6,77,5.1,94,2.0,80,1.2,86,0.4,89,84
559,Jacob Theodosiou,Loyola (MD),G,29,30.7,G,12.8,88,37.7,73,78.3,83,33.5,80,4.0,87,2.6,85,1.8,99,0.3,84,84
560,Anquan Hill,Sacred Heart,F,23,27.0,F,12.8,92,54.5,85,68.3,81,42.5,90,5.3,84,1.3,84,0.5,77,0.9,86,84
561,Yanic Konan Niederhauser,Penn State,F,28,24.8,F,12.8,92,61.0,92,67.2,81,9.1,71,6.2,89,0.7,76,0.7,82,2.2,99,85
562,Shereef Mitchell,Ohio,G,22,27.5,G,12.8,88,46.6,87,82.2,86,42.9,92,3.1,81,2.6,85,1.8,99,0.1,75,86
563,Arthur Kaluma,Texas,F,27,29.3,F,12.8,92,46.9,76,78.9,89,38.3,88,7.9,97,2.0,93,0.9,88,1.0,88,88
564,Paulius Murauskas,Saint Mary's,F,31,28.0,F,12.8,92,46.3,76,75.0,86,31.7,84,8.1,98,1.4,85,0.7,82,0.4,76,84
565,Bradley Douglas,Georgia Southern,G,31,29.1,G,12.8,88,40.1,77,72.0,77,31.0,77,3.8,85,2.4,83,1.5,92,0.1,75,81
566,Kadary Richmond,St. John's,G,30,32.7,G,12.8,88,48.9,91,57.3,65,20.0,64,5.9,99,5.1,99,2.1,99,1.0,99,88
567,Jayden Pierre,Providence,G,29,34.3,G,12.8,88,41.0,78,78.8,83,35.2,82,2.6,77,3.1,88,0.7,76,0.3,84,82
568,Nick Boyd,San Diego State,G,27,29.9,G,12.8,88,40.0,77,77.8,82,33.3,80,4.0,87,4.0,95,1.1,84,0.0,71,83
569,Sebastian Akins,Denver,G,31,25.7,G,12.8,88,42.5,81,76.9,82,30.6,77,2.2,74,2.7,85,0.9,80,0.3,84,81
570,Jordan Battle,Coastal Carolina,G,30,30.9,G,12.8,88,42.6,81,80.4,85,43.7,93,3.9,86,1.8,79,0.4,69,0.0,71,81
571,Anias Futrell,Lincoln (PA),G,27,30.1,G,12.7,88,36.9,72,71.7,77,28.0,74,5.8,99,1.1,73,1.4,90,1.0,99,84
572,Parsa Fallah,Oregon State,F,30,24.6,F,12.7,92,59.6,90,68.9,82,0.0,66,3.9,78,1.0,80,0.3,72,0.5,78,79
573,Devin Tillis,UC Irvine,F,29,28.9,F,12.7,92,52.0,82,84.1,93,34.1,85,7.7,96,2.1,94,0.6,80,0.2,71,86
574,Peter Filipovity,New Mexico State,F,25,26.8,F,12.7,92,44.9,74,65.3,79,22.4,78,8.2,98,1.2,82,1.0,91,0.0,67,82
575,Micah Parrish,Ohio State,G,28,31.3,G,12.7,88,44.0,83,78.3,83,35.3,83,4.5,90,1.5,76,1.1,84,0.3,84,83
576,Alston Mason,Arizona State,G,28,36.3,G,12.7,88,43.1,82,84.0,88,37.6,85,2.6,77,4.0,95,0.7,76,0.2,80,83
577,Dane Erikstrup,Washington State,F,31,26.9,F,12.7,92,49.6,79,73.7,85,38.2,88,4.5,80,1.6,88,1.1,93,0.9,86,86
578,Josh Dilling,Northern Kentucky,G,31,30.3,G,12.7,88,42.4,81,76.7,81,40.7,89,2.8,78,2.7,85,0.7,76,0.0,71,81
579,Des Watson,Loyola Chicago,G,29,34.1,G,12.7,88,37.7,73,71.4,77,34.4,81,3.7,85,2.7,85,1.4,90,0.1,75,81
580,Jadis Jones,Lincoln (PA),G,31,33.4,G,12.7,88,55.4,99,59.6,67,25.0,70,5.9,99,1.1,73,1.5,92,0.5,93,85
581,Kellen Tynes,Maine,G,30,33.1,G,12.7,88,43.5,82,75.5,80,34.8,82,3.5,83,4.7,99,3.0,99,0.7,99,89
582,Dallas Hobbs,Mount St. Mary's,G,23,26.9,G,12.7,88,38.6,74,80.0,84,32.5,79,3.7,85,3.3,90,0.9,80,0.0,71,81
583,Mikal Dawson,Marshall,G,31,30.0,G,12.6,88,39.8,76,84.0,88,35.9,83,4.2,88,1.5,76,1.1,84,0.2,80,82
584,Tanner Toolson,Utah Valley,G,28,27.7,G,12.6,88,43.8,83,80.0,84,35.0,82,4.0,87,1.8,79,1.1,84,0.3,84,83
585,Zion Stanford,Temple,G,28,26.6,G,12.6,88,46.4,87,73.0,78,33.3,80,4.2,88,1.8,79,0.7,76,0.7,99,84
586,TJ Johnson,VMI,F,30,32.4,F,12.6,91,41.3,70,72.7,85,37.5,87,4.5,80,0.9,78,1.5,99,0.1,69,82
587,Jasin Sinani,Campbell,G,24,31.8,G,12.6,88,38.5,74,79.2,84,32.8,79,5.0,94,2.7,85,1.3,88,0.2,80,84
588,Naithan George,Georgia Tech,G,29,35.2,G,12.6,88,39.9,76,81.8,86,33.3,80,4.0,87,6.4,99,0.9,80,0.4,89,85
589,Tim Moore Jr.,NJIT,F,29,26.7,F,12.6,91,50.4,80,78.0,88,34.3,85,6.7,91,0.2,69,0.7,82,1.4,97,85
590,Carter Welling,Utah Valley,F,26,24.4,F,12.6,91,46.5,76,62.8,77,35.4,86,6.0,88,1.4,85,0.7,82,1.8,99,85
591,Zek Montgomery,Bradley,G,31,29.9,G,12.6,88,45.3,85,79.7,84,40.0,88,2.8,78,1.8,79,0.9,80,0.3,84,83
592,Bryce Thompson,Oklahoma State,G,29,26.4,G,12.6,88,43.3,82,81.7,86,33.7,81,2.8,78,1.9,79,0.8,78,0.1,75,80
593,Nick Johnson,Winthrop,G,31,27.5,G,12.6,88,42.3,80,70.6,76,33.3,80,3.4,83,1.6,77,1.5,92,0.5,93,83
594,Tomislav Ivisic,Illinois,C,27,26.7,C,12.6,93,50.0,71,72.9,89,33.6,88,7.7,92,2.2,96,0.6,86,1.1,83,87
595,Mickey Pearson Jr.,Ball State,F,29,29.4,F,12.6,91,43.5,73,84.2,93,34.5,85,5.4,85,1.1,81,0.4,74,0.4,76,82
596,Tyson Dunn,Buffalo,G,29,29.1,G,12.6,88,43.9,83,72.5,78,33.1,80,4.0,87,5.4,99,1.6,94,0.3,84,86
597,Cavan Reilly,Delaware,G,28,32.5,G,12.5,87,47.9,90,85.2,89,34.6,82,2.9,79,1.6,77,1.3,88,0.1,75,83
598,Bensley Joseph,Providence,G,29,29.6,G,12.5,87,41.5,79,78.5,83,38.7,87,4.0,87,3.2,89,1.2,86,0.1,75,84
599,Danny Wolf,Michigan,C,29,29.9,C,12.5,93,50.2,71,61.4,80,33.7,89,9.7,99,3.7,99,0.8,93,1.4,88,89
600,Josue Grullon,UT Martin,G,31,20.1,G,12.5,87,40.4,77,80.0,84,36.5,84,3.8,85,0.6,70,0.7,76,0.1,75,79
601,Chad Venning,Boston College,F,28,26.5,F,12.5,91,54.0,84,62.7,77,0.0,66,4.1,79,0.7,76,0.6,80,1.6,99,81
602,Tobi Lawal,Virginia Tech,F,28,26.3,F,12.5,91,56.2,87,65.4,79,39.0,88,6.9,92,0.9,78,0.6,80,0.6,80,84
603,Jalen Forrest,Chicago State,G,30,29.6,G,12.5,87,38.7,75,74.6,80,31.0,77,4.6,91,1.3,75,0.4,69,0.3,84,79
604,Ryan Curry,Army,G,30,33.4,G,12.5,87,43.7,83,78.1,83,38.0,86,4.3,89,3.6,92,1.1,84,0.0,71,84
605,Prophet Johnson,Fairfield,G,28,28.8,G,12.5,87,46.4,87,73.4,79,25.0,70,7.5,99,2.5,84,1.8,99,0.2,80,85
606,Markeith Browning II,Lincoln (PA),G,31,30.6,G,12.5,87,37.0,72,69.7,76,23.5,68,4.3,89,3.5,91,1.5,92,0.4,89,83
607,Mackenzie Mgbako,Indiana,F,29,25.2,F,12.5,91,44.6,74,82.6,92,32.3,84,4.5,80,1.1,81,0.3,72,0.4,76,81
608,Joshua Jefferson,Iowa State,F,29,28.6,F,12.5,91,50.8,81,77.5,88,31.3,84,7.6,95,3.0,99,2.1,99,0.7,82,89
609,Bernie Blunt III,Mercer,G,27,26.4,G,12.5,87,39.7,76,92.6,95,35.7,83,2.1,74,1.5,76,1.7,97,0.0,71,82
610,Jalen Weaver,Fresno State,G,25,33.2,G,12.5,87,38.0,73,81.1,85,31.6,78,3.9,86,1.4,76,1.1,84,0.3,84,81
611,Trae Broadnax,Rice,G,30,31.1,G,12.5,87,40.2,77,74.0,79,30.0,76,5.2,95,4.2,97,0.6,74,0.2,80,83
612,Dre Bullock,South Dakota,G,28,22.9,G,12.5,87,46.4,87,76.2,81,33.3,80,3.5,83,1.7,78,1.4,90,0.5,93,84
613,Jayden Epps,Georgetown,G,24,30.0,G,12.5,87,40.3,77,72.6,78,34.6,82,2.2,74,2.3,82,1.4,90,0.1,75,80
614,Tyler Lundblade,Belmont,G,31,26.7,G,12.5,87,49.2,92,95.7,97,48.3,98,2.0,73,0.9,72,0.5,71,0.1,75,83
615,Ezra Ausar,Utah,F,28,22.7,F,12.4,91,52.2,82,61.9,77,9.1,71,4.8,82,0.9,78,0.9,88,0.4,76,80
616,Carlos Stewart Jr.,Santa Clara,G,31,28.5,G,12.4,87,46.4,87,82.1,86,39.9,88,2.5,76,2.8,86,1.2,86,0.1,75,83
617,Ethan Price,Washington State,F,31,30.7,F,12.4,91,47.6,77,80.8,91,37.1,87,5.2,84,2.1,94,0.5,77,0.9,86,85
618,Kentrell Pullian,Milwaukee,G,31,27.0,G,12.4,87,45.5,86,81.3,85,34.6,82,5.2,95,1.5,76,1.3,88,0.2,80,84
619,DK Thorn,UT Rio Grande Valley,G,29,29.6,G,12.4,87,42.0,80,84.6,88,34.3,81,3.7,85,2.0,80,1.6,94,0.2,80,84
620,Noel Brown,St. Bonaventure,C,29,30.9,C,12.4,93,56.5,78,79.6,94,36.4,90,5.6,83,1.1,82,0.6,86,0.6,75,85
621,Amaree Abram,Louisiana Tech,G,29,32.1,G,12.4,87,42.3,80,87.8,91,38.5,86,4.6,91,1.8,79,1.6,94,0.1,75,85
622,Jaden Wells,UT Arlington,G,25,27.1,G,12.4,87,39.1,75,80.0,84,37.2,85,2.9,79,1.3,75,1.2,86,0.1,75,80
623,Jevon Porter,Loyola Marymount,F,29,31.0,F,12.4,91,38.9,68,67.1,81,31.0,83,7.3,94,1.9,92,0.7,82,1.2,93,85
624,Julian Hammond III,Colorado,G,29,28.4,G,12.4,87,41.6,79,90.2,93,38.2,86,2.6,77,3.0,88,1.2,86,0.1,75,83
625,Dezayne Mingo,Marshall,G,29,33.1,G,12.4,87,43.2,82,72.1,78,32.9,80,4.6,91,5.1,99,0.8,78,0.1,75,83
626,Joe Nugent,Holy Cross,F,30,33.3,F,12.4,91,43.7,73,82.0,91,42.1,90,5.2,84,0.6,74,0.6,80,0.2,71,81
627,Christoph Tilly,Santa Clara,C,28,22.7,C,12.4,93,55.0,77,77.8,92,32.7,88,4.8,80,1.9,93,0.8,93,0.8,78,86
628,Nico Galette,Youngstown State,G,31,30.9,G,12.4,87,44.3,84,79.0,83,29.1,75,7.1,99,3.0,88,1.3,88,0.8,99,87
629,TJ Madlock,Alabama State,G,27,29.6,G,12.3,87,43.1,82,71.0,77,27.9,73,6.7,99,2.6,85,1.0,82,0.3,84,83
630,Malik Mack,Georgetown,G,27,35.1,G,12.3,87,36.9,72,74.3,79,32.6,79,3.9,86,4.6,99,1.3,88,0.3,84,84
631,Brian Taylor II,SIU Edwardsville,G,31,31.6,G,12.3,87,49.3,92,73.4,79,47.6,98,4.0,87,2.9,87,0.8,78,0.2,80,86
632,J'Vonne Hadley,Louisville,G,29,32.5,G,12.3,87,51.6,96,77.6,82,38.4,86,7.3,99,1.8,79,0.8,78,0.2,80,85
633,Kenny White Jr.,Morehead State,F,29,28.8,F,12.3,91,45.9,75,58.4,74,39.6,88,5.8,87,2.0,93,0.8,85,0.5,78,83
634,Jayden Jackson,Northern Arizona,G,29,31.7,G,12.3,87,47.4,89,82.3,86,31.8,78,3.9,86,3.6,92,0.7,76,0.2,80,84
635,Myles Che,UC Irvine,G,29,28.4,G,12.3,87,40.1,77,88.6,91,39.0,87,2.6,77,2.9,87,0.8,78,0.0,71,81
636,Todd Brogna,St. Thomas,F,29,28.3,F,12.3,91,49.6,79,91.3,98,40.3,89,6.7,91,2.2,96,0.6,80,0.4,76,87
637,CJ Gunn,DePaul,G,27,25.1,G,12.3,87,42.5,81,73.8,79,29.5,75,4.0,87,0.9,72,1.1,84,0.3,84,81
638,Joseph Pinion,Arkansas State,G,31,24.9,G,12.3,87,44.6,84,89.1,92,37.4,85,3.9,86,1.2,74,1.1,84,0.7,99,86
639,Tahj Staveskie,Cleveland State,G,31,31.6,G,12.3,87,36.0,70,80.9,85,35.9,83,2.1,74,1.6,77,0.9,80,0.1,75,78
640,Andrew Meadow,Boise State,F,29,28.8,F,12.2,91,46.6,76,85.3,94,34.1,85,4.3,80,0.7,76,0.7,82,0.2,71,81
641,Justin Hill,Wichita State,G,22,28.5,G,12.2,87,36.4,71,77.0,82,26.5,72,2.9,79,3.1,88,1.1,84,0.1,75,79
642,Jamal Fuller,LIU,F,31,31.5,F,12.2,91,48.7,78,68.9,82,36.7,87,6.0,88,1.4,85,1.0,91,0.8,84,85
643,Jayden Reid,San Francisco,G,29,28.9,G,12.2,87,38.3,74,77.5,82,35.1,82,2.6,77,3.6,92,1.8,99,0.0,71,83
644,Raekwon Horton,UTSA,F,25,34.4,F,12.2,91,47.2,77,83.5,92,22.4,78,5.9,87,1.6,88,1.8,99,0.2,71,85
645,Terri Miller Jr.,Portland State,F,30,21.3,F,12.2,91,51.0,81,69.9,83,25.8,80,5.3,84,2.0,93,1.5,99,0.4,76,85
646,JaVaughn Hannah,Western Michigan,G,27,28.0,G,12.2,87,42.5,81,74.2,79,26.8,72,4.1,87,1.7,78,1.3,88,0.2,80,81
647,Jamaine Mann,Gardner-Webb,G,28,28.9,G,12.2,87,54.1,99,64.5,71,30.2,76,4.8,92,1.4,76,0.5,71,0.3,84,82
648,Noah Reynolds,TCU,G,28,31.1,G,12.2,87,43.4,82,73.2,78,33.3,80,2.3,75,3.1,88,0.7,76,0.0,71,79
649,Michael Christmas,Longwood,F,31,29.2,F,12.2,91,42.4,71,68.8,82,37.1,87,4.2,79,1.1,81,0.4,74,0.2,71,79
650,Justin Vander Baan,Lafayette,C,26,29.2,C,12.2,92,49.0,69,67.0,84,20.6,82,6.9,88,3.0,99,0.7,90,2.9,99,87
651,Abou Ousmane,Oklahoma State,F,28,22.5,F,12.1,90,51.9,82,72.5,85,48.4,93,5.4,85,0.8,77,1.1,93,1.0,88,86
652,Howie Fleming Jr.,UT Rio Grande Valley,G,30,26.4,G,12.1,87,56.2,99,70.7,76,41.7,90,6.3,99,2.4,83,0.8,78,0.2,80,86
653,Brenen Lorient,North Texas,F,27,24.7,F,12.1,90,58.2,89,74.8,86,55.6,98,4.9,82,1.4,85,0.7,82,1.2,93,88
654,Steve Settle III,Temple,F,28,33.0,F,12.1,90,46.8,76,72.0,84,41.7,90,6.2,89,1.7,89,1.0,91,1.0,88,87
655,Tony Osburn,Omaha,G,30,27.0,G,12.1,87,44.6,84,87.3,90,38.7,87,3.2,81,1.4,76,0.9,80,0.0,71,82
656,Darius Hannah,Bradley,F,31,28.6,F,12.1,90,57.8,88,69.5,82,35.7,86,5.8,87,1.5,86,1.1,93,1.0,88,87
657,Coltie Young,UL Monroe,G,31,30.7,G,12.1,87,40.9,78,71.4,77,39.1,87,3.2,81,1.4,76,0.7,76,0.3,84,80
658,Jordan Wood,Stetson,F,32,26.9,F,12.1,90,45.2,74,82.8,92,37.6,87,3.8,77,1.5,86,0.9,88,0.7,82,84
659,Quaran McPherson,Northern Illinois,G,23,23.1,G,12.1,87,45.5,86,66.7,73,39.0,87,5.0,94,0.8,71,1.0,82,0.0,71,81
660,Tre Carroll,Florida Atlantic,F,29,22.1,F,12.1,90,51.7,82,71.2,84,38.3,88,5.3,84,1.6,88,0.8,85,1.0,88,86
661,Deuce Jones,La Salle,G,29,27.8,G,12.1,87,41.3,79,72.3,78,31.4,78,4.1,87,2.8,86,1.6,94,0.4,89,84
662,Ja'Sean Jackson,Lamar,G,30,27.5,G,12.1,87,42.0,80,75.3,80,37.4,85,2.5,76,3.8,94,1.2,86,0.1,75,82
663,Zaon Collins,Fresno State,G,26,35.0,G,12.0,86,44.0,83,71.6,77,33.8,81,4.1,87,4.6,99,1.9,99,0.2,80,86
664,Basheer Jihad,Arizona State,F,29,29.8,F,12.0,90,41.5,70,75.8,87,29.0,82,5.4,85,1.8,90,1.2,96,0.8,84,85
665,Sincere Parker,McNeese,G,29,19.7,G,12.0,86,44.1,83,81.3,85,28.8,75,2.4,76,0.6,70,0.8,78,0.2,80,79
666,Sebastian Robinson,NJIT,G,29,33.0,G,12.0,86,34.6,68,74.3,79,18.9,62,3.4,83,3.4,91,0.8,78,0.3,84,78
667,Jordan Stiemke,Loyola (MD),G,29,28.6,G,12.0,86,40.2,77,79.2,84,32.9,80,3.5,83,1.1,73,1.0,82,1.0,99,83
668,Kenny Pohto,UC Santa Barbara,F,30,25.6,F,12.0,90,63.0,94,66.4,80,0.0,66,6.3,89,1.6,88,0.5,77,0.4,76,82
669,Moe Odum,Pepperdine,G,31,32.7,G,12.0,86,43.0,82,81.2,85,35.5,83,3.1,81,7.3,99,1.3,88,0.0,71,84
670,Kendall Blue,Stonehill,G,31,26.7,G,12.0,86,51.8,96,73.2,78,43.1,92,4.5,90,2.4,83,1.0,82,0.4,89,87
671,Jacob Hutson,Northern Iowa,C,30,23.9,C,12.0,92,48.6,69,68.1,85,32.8,88,4.5,79,1.8,91,0.5,83,0.5,74,82
672,Robert Wright III,Baylor,G,29,29.9,G,12.0,86,43.0,82,77.8,82,35.4,83,2.3,75,4.4,98,1.1,84,0.1,75,83
673,Harold Woods,Northeastern,G,31,32.4,G,12.0,86,45.9,86,53.0,61,32.1,79,7.3,99,2.5,84,1.1,84,0.1,75,81
674,Kintavious Dozier,Grambling State,G,27,28.6,G,12.0,86,45.3,85,82.5,86,34.9,82,3.8,85,1.9,79,1.0,82,0.1,75,82
675,Adam Njie,Iona,G,29,28.5,G,12.0,86,42.0,80,73.6,79,30.7,77,2.8,78,4.0,95,1.7,97,0.1,75,83
676,Nate Lliteras,North Florida,G,32,29.5,G,12.0,86,46.0,86,74.4,79,36.2,84,5.3,96,1.2,74,0.7,76,1.2,99,85
677,Aden Holloway,Alabama,G,29,21.3,G,12.0,86,47.8,89,78.3,83,42.3,91,2.0,73,1.8,79,0.6,74,0.0,71,80
678,Amiri Stewart,Sacred Heart,G,28,26.8,G,12.0,86,44.7,84,73.0,78,29.1,75,4.7,92,2.5,84,1.7,97,0.9,99,86
679,Will McClendon,San Jose State,G,24,32.1,G,12.0,86,36.1,70,82.7,86,34.9,82,3.3,82,2.8,86,0.8,78,0.0,71,80
680,Jaden Henley,UNLV,G,24,28.3,G,12.0,86,45.2,85,88.7,92,37.1,85,4.2,88,1.5,76,1.5,92,0.2,80,85
681,Sean Craig,IUPUI,F,31,31.8,F,11.9,90,42.1,71,75.9,87,36.6,87,7.7,96,1.7,89,1.1,93,0.4,76,86
682,Tre Donaldson,Michigan,G,29,31.2,G,11.9,86,45.1,85,68.1,74,38.9,87,3.6,84,3.9,94,1.0,82,0.1,75,83
683,Matt Cross,SMU,F,28,29.3,F,11.9,90,49.2,79,70.5,83,38.8,88,7.9,97,1.7,89,1.0,91,0.5,78,86
684,Seth Trimble,North Carolina,G,27,29.6,G,11.9,86,44.1,83,81.4,85,29.9,76,5.3,96,1.4,76,1.4,90,0.3,84,84
685,Reggie Bass,Lincoln (PA),G,26,31.3,G,11.9,86,36.9,72,80.5,85,33.1,80,3.0,80,2.6,85,1.0,82,0.0,71,80
686,Zaire Williams,Wagner,G,25,30.6,G,11.9,86,38.6,74,69.7,76,33.6,80,3.9,86,1.9,79,1.8,99,0.1,75,81
687,Terence Harcum,Murray State,G,31,34.7,G,11.9,86,36.2,70,78.9,83,31.6,78,2.4,76,2.0,80,1.0,82,0.0,71,78
688,Jamal West Jr.,Nicholls,F,30,25.6,F,11.9,90,50.8,81,71.4,84,14.3,74,6.4,90,1.2,82,0.6,80,1.5,99,85
689,Selton Miguel,Maryland,G,29,28.2,G,11.9,86,44.6,84,73.2,78,42.4,91,1.9,72,2.0,80,0.8,78,0.2,80,81
